1962,6486
251,1477
8901,5192
305,2582
725,4193
2754,9624
7158,4416
6286,4149
7919,2393
4928,6549
2473,106
5885,4183
6525,3597
556,4107
8426,3593
6245,3690
774,5893
5154,563
2668,3338
4066,7603
4660,8132
3516,3712
9824,1253
7073,8434
626,1654
1482,4287
5723,6379
6017,145
7598,3953
507,8917
1779,7254
690,5843
2568,5573
5857,9765
9938,6317
5097,2071
1745,6750
6209,8265
2801,9487
1450,4579
3213,2702
7088,2262
6558,965
2188,4971
8465,2373
2086,2138
8358,5938
3224,5577
1460,2907
3262,3711
2763,852
2266,5588
2353,7122
5700,7991
7614,4530
78,5691
9139,5190
6149,1615
4917,6461
1603,2441
4328,4126
5586,8494
5702,8129
7115,2064
6303,7642
6060,4389
1562,210
1800,7024
5993,2788
8089,494
6986,3281
1152,2750
8634,5633
2413,8638
4229,6071
650,767
1032,3055
7777,772
5176,262
5295,5580
1691,9190
32,2026
9411,8285
2457,9469
5563,729
8020,8081
1210,7394
9574,5329
2197,84
9325,2934
8753,7415
8949,9969
6774,9053
9642,2209
4719,7415
855,162
4829,2212
317,3090
731,5127
5791,2721
93,5668
5114,4101
1794,6904
7874,7366
4520,722
5080,780
5550,2481
8727,4036
6852,2827
8030,2169
6015,9174
1848,469
2906,5831
3895,4531
2806,1174
8079,8879
8033,8122
3486,2669
5028,6438
345,2147
1591,8751
690,6580
1823,8937
5558,9002
4488,8157
1074,8143
1805,7801
6678,6872
1732,2084
2210,6079
3463,8460
2877,9115
2685,718
4980,1982
5543,4497
3391,6795
918,1088
4511,5058
8521,8402
7252,281
2788,5912
7531,2120
9373,6034
3925,1105
304,9070
5890,4203
9827,7694
4156,730
9939,3669
5361,4668
3549,5181
7448,1634
8585,3480
3428,5193
8624,9730
3174,3076
8190,7311
1628,7736
8642,5430
7224,9315
3923,377
2316,5882
4173,560
209,9150
6393,5809
2583,5370
7354,5951
2167,4348
2132,9180
7796,9357
2503,1131
5359,8655
7881,7319
4682,6386
225,5289
5396,1907
527,2042
4339,4161
9786,8822
8128,9277
7074,1145
4252,4429
7811,5817
3297,6301
267,6751
1155,7844
9730,8131
53,1694
2216,1619
3976,8587
7949,1167
9645,9971
5594,4020
1036,5284
3229,5828
7165,5290
8001,4606
1748,7033
3564,7808
4714,5546
5698,8021
182,2368
790,8604
5514,773
6657,199
9226,9830
6875,8444
8583,7560
5654,3660
3129,4774
2843,1293
6316,872
2012,3319
6241,225
9048,103
3782,101
9389,7875
7520,245
647,939
5907,2777
5991,9112
6564,1689
2143,9252
1270,5143
8617,6389
8688,764
6359,5655
5376,8718
2246,3429
5977,9034
9644,5908
1992,2516
7808,4188
261,4841
5864,5508
4852,7613
5245,4121
2554,5525
8716,6219
2669,659
5414,7588
2677,5194
4870,3237
2927,445
5122,3390
5440,2344
5115,6586
5285,1050
3487,7845
6841,3166
8990,2219
1537,1429
3833,3599
2209,6049
3846,8628
2529,5408
1152,731
7466,6851
2140,4042
491,6746
6518,4565
5656,4110
9258,828
6001,4843
7758,5473
2289,5160
7436,5716
7437,6501
5566,8717
6220,8415
2194,9045
326,7538
4893,7537
1925,5932
396,715
5512,1594
4725,5583
2055,1745
540,608
3568,9355
4785,6037
1888,7293
7863,2195
7357,5969
16,9239
176,2340
7315,592
9040,2253
5280,6391
8761,441
9578,2365
4028,4784
7427,1311
9680,661
5302,6936
1414,6735
5197,3795
8602,9727
5874,7516
1077,7133
4211,5666
5007,2595
4046,3754
8770,6790
3036,7123
8426,4109
7531,9778
4985,6783
6404,9226
2311,3277
7483,1465
2614,4569
1012,2290
803,4290
7570,3282
3913,5821
9450,1569
5647,6514
775,2888
9058,3056
6487,3241
589,4269
2019,3167
612,8269
9084,8515
4481,542
1728,2360
6229,1455
6395,9283
7408,1291
3834,4219
2348,3094
7515,6873
8212,4098
5441,3196
2802,9630
2180,9692
9333,5020
853,232
9249,1966
6750,1166
97,2508
7608,1543
7095,3652
1718,9085
9540,782
1759,9865
7763,8427
105,1197
